year,customer_name_norm,gross_invoices,positive_adjustments,credits_abs,net_invoiced,payments,year_net_delta,running_balance
2023,BCCDC HARM REDUCTION SERVICES,6445.18,0.0,0.0,6445.18,6715.83,-270.65,-41.33
2024,BCCDC HARM REDUCTION SERVICES,6355.81,0.0,0.0,6355.81,6416.79,-60.98,-102.31
2025,BCCDC HARM REDUCTION SERVICES,6725.22,0.0,0.0,6725.22,5780.22,945.0,842.69
2026,BCCDC HARM REDUCTION SERVICES,826.88,0.0,0.0,826.88,1771.88,-945.0,-102.31
2017,BCCH PEDIATRIC ANESTHESIA‬,1627.5,0.0,0.0,1627.5,1627.5,0.0,0.0
2020,BEAKBANE STRATEGIES AND COMMUNICATIONS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,BEATNIK ENTERTAINMENT INC,507.95,0.0,0.0,507.95,451.51,56.44,56.44
2021,BEATNIK ENTERTAINMENT INC,74.5,0.0,130.94,-56.44,0.0,-56.44,0.0
2023,BEATNIK ENTERTAINMENT INC,335.48,0.0,0.0,335.48,466.42,-130.94,-130.94
2021,BEL-TECH CONSTRUCTION LTD,3561.78,0.0,0.0,3561.78,3561.78,0.0,0.0
2022,BEL-TECH CONSTRUCTION LTD,74.5,0.0,0.0,74.5,74.5,0.0,0.0
2023,BEL-TECH CONSTRUCTION LTD,3654.84,0.0,0.0,3654.84,3654.84,0.0,0.0
2024,BEL-TECH CONSTRUCTION LTD,3654.83,0.0,0.0,3654.83,3654.83,0.0,0.0
2025,BEL-TECH CONSTRUCTION LTD,3654.84,0.0,0.0,3654.84,3654.84,0.0,0.0
2026,BEL-TECH CONSTRUCTION LTD,4008.43,0.0,0.0,4008.43,4008.43,0.0,0.0
2015,BERRYHILL FOODS INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,BETTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,BIG BAD BOO STUDIOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,BIKRAM'S YOGA NORTH VANCOUVER,4508.0,0.0,0.0,4508.0,4138.4,369.6,369.6
2012,BIKRAM'S YOGA NORTH VANCOUVER,593.6,0.0,0.0,593.6,817.6,-224.0,145.6
2013,BIKRAM'S YOGA NORTH VANCOUVER,0.0,0.0,145.6,-145.6,0.0,-145.6,0.0
2014,BIKRAM'S YOGA NORTH VANCOUVER,294.0,0.0,0.0,294.0,294.0,0.0,0.0
2021,BILL MCLAUGHLIN,226.08,0.0,0.0,226.08,226.08,0.0,0.0
2015,BLANCHE MACDONALD CENTRE,86724.23,0.0,0.0,86724.23,80411.98,6312.25,6312.25
2016,BLANCHE MACDONALD CENTRE,129190.26,0.0,0.0,129190.26,117056.2,12134.06,18446.31
2017,BLANCHE MACDONALD CENTRE,89481.25,0.0,0.0,89481.25,99357.81,-9876.56,8569.75
2018,BLANCHE MACDONALD CENTRE,91287.26,0.0,0.0,91287.26,93544.76,-2257.5,6312.25
2019,BLANCHE MACDONALD CENTRE,68037.8,0.0,0.0,68037.8,68037.8,0.0,6312.25
2020,BLANCHE MACDONALD CENTRE,67243.96,0.0,0.0,67243.96,67243.96,0.0,6312.25
2021,BLANCHE MACDONALD CENTRE,72533.83,0.0,0.0,72533.83,67341.58,5192.25,11504.5
2022,BLANCHE MACDONALD CENTRE,70241.02,0.0,0.0,70241.02,75433.27,-5192.25,6312.25
2023,BLANCHE MACDONALD CENTRE,76196.74,0.0,0.0,76196.74,69786.49,6410.25,12722.5
2024,BLANCHE MACDONALD CENTRE,63481.98,0.0,0.0,63481.98,63481.98,0.0,12722.5
2025,BLANCHE MACDONALD CENTRE,45346.05,0.0,17403.75,27942.3,39544.8,-11602.5,1120.0
2015,BLANCHE MACDONALD CENTRE`,3745.28,0.0,0.0,3745.28,0.0,3745.28,3745.28
2014,BLU BATHWORKS,481.6,0.0,0.0,481.6,481.5,0.1,0.1
2015,BLU BATHWORKS,1128.76,0.0,790.13,338.63,338.63,0.0,0.1
2018,BOLD DAUGHTER OPERATIONS INC,483.0,0.0,258.3,224.7,483.0,-258.3,-258.3
2017,BRB DEVELOPMENT LLC,5504.0,0.0,0.0,5504.0,5504.0,0.0,0.0
2019,BRB DEVELOPMENT LLC,1643.2,0.0,0.0,1643.2,1616.0,27.2,27.2
2021,BRB DEVELOPMENT LLC,0.0,84.8,0.0,84.8,0.0,84.8,112.0
2013,BREAD GARDEN CATERING,346.5,0.0,0.0,346.5,0.0,346.5,346.5
2014,BREAD GARDEN CATERING,136.5,0.0,483.0,-346.5,0.0,-346.5,0.0
2011,BRIAN J. RIX,75.6,0.0,0.0,75.6,0.0,75.6,75.6
2009,BRUCE ALLEN TALENT,15854.31,0.0,0.0,15854.31,14999.9,854.41,854.41
2010,BRUCE ALLEN TALENT,31676.21,0.0,462.0,31214.21,29347.31,1866.9,2721.31
2011,BRUCE ALLEN TALENT,22728.72,0.0,72.8,22655.92,25024.72,-2368.8,352.51
2012,BRUCE ALLEN TALENT,41230.9,0.0,437.92,40792.98,39944.57,848.41,1200.92
